artifact,source,destination,reused,compatible,detail
data_extract_package,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_2/paper/cache/data_extract/EV_SPARK_ICTA2026_Data_20260622,,True,True,Read-only reuse of v1.2 extracted package; manifest is re-verified below.
station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_2/paper/cache/station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,True,True,Compatible v1.2 station–POI cache copied into the v1.3.1 namespace.
station_poi_features_R3_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_2/paper/cache/station_poi_features_R3_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R3_S0.5.parquet,True,True,Compatible v1.2 station–POI cache copied into the v1.3.1 namespace.
station_poi_features_R5_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_2/paper/cache/station_poi_features_R5_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R5_S0.5.parquet,True,True,Compatible v1.2 station–POI cache copied into the v1.3.1 namespace.
station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,True,True,Current v1.3.1 station–POI cache reused.
station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,True,True,Current v1.3.1 station–POI cache reused.
station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,True,True,Current v1.3.1 station–POI cache reused.
station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,True,True,Current v1.3.1 station–POI cache reused.
station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,True,True,Current v1.3.1 station–POI cache reused.
station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,True,True,Current v1.3.1 station–POI cache reused.
station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,True,True,Current v1.3.1 station–POI cache reused.
station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,True,True,Current v1.3.1 station–POI cache reused.
station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,True,True,Current v1.3.1 station–POI cache reused.
station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,True,True,Current v1.3.1 station–POI cache reused.
station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,True,True,Current v1.3.1 station–POI cache reused.
station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,True,True,Current v1.3.1 station–POI cache reused.
station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,/content/drive/MyDrive/DSP391m - AI1905/outputs/EV_SPARK_Cover/v1_3_1/paper/cache/station_poi_features_R1_S0.5.parquet,True,True,Current v1.3.1 station–POI cache reused.
