tag,period,intercept,alpha,radius_km,winsor_p99,beta__tourism_hotel,beta__market_local,beta__commercial_industrial_area,beta__mall_supermarket,beta__transport_hub,beta__parking
fold_1,weekday_morning,0.17805643147192135,0.1,1.0,0.9642086424581625,4.85521361088231e-11,4.0691831425779867e-14,0.00804774393304796,0.008026581009953472,0.01594704397968348,1.9203105132285495e-21
fold_1,weekday_evening,0.23059515010158457,0.1,1.0,1.0880433127096254,0.0004820463965327489,1.908052930398416e-15,0.007254063479070184,0.01167378997046506,0.012848324344261225,7.154762335850528e-29
fold_1,weekend_midday,0.2213857853814555,0.1,1.0,1.0825234689847805,4.777925872318016e-16,0.0014515473142861649,0.0061317652226159525,0.017752473221113504,0.027148710742794357,7.639717717371326e-24
fold_1,weekend_evening,0.2536532040360843,0.1,1.0,1.1626277951420696,0.0006402153337122558,0.000562357255659335,0.00866041192357805,0.012381317414887892,0.011389768485197165,1.0259807706601811e-21
fold_2,weekday_morning,0.17252373904627188,0.1,1.0,0.9678056840679204,0.0001407750156639323,1.828577134527725e-14,0.0018285944473604133,0.0032806996422866347,0.017909133529106933,0.0027887725881360014
fold_2,weekday_evening,0.22367321177604768,0.1,1.0,1.0764735911162262,3.24419872173723e-07,4.2438976308305556e-32,0.0015071195720268978,0.010894188223208312,0.01032071667812514,0.0003761315534547079
fold_2,weekend_midday,0.2169686127347495,0.1,1.0,1.0793868643164946,1.265884331606744e-17,8.489330280017605e-24,2.2768603682910366e-23,0.015610724215383655,0.026059579912143357,0.0021237258281914823
fold_2,weekend_evening,0.24552295508070374,0.1,1.0,1.1686164219688668,5.473170158454553e-12,2.3485493831060325e-19,0.0032289389543686403,0.010126432602903223,0.01151025737953143,0.0027132439219515886
fold_3,weekday_morning,0.1711572529864437,0.1,1.0,0.93727459270222,2.826163062646905e-17,3.3331538952762506e-21,0.01111093377946282,0.011757639419669208,0.010914457350856652,0.0036595414677081084
fold_3,weekday_evening,0.22030022321190323,0.1,1.0,1.0747618416878248,6.791404749811042e-15,9.53878358738833e-21,0.011466995995110214,0.0182126493575377,0.005775600113160795,0.0019097473883022441
fold_3,weekend_midday,0.21712995982458133,0.1,1.0,1.0993199636770181,3.1137001322173177e-18,1.0605200516277578e-21,0.009772076659622165,0.022829580146932836,0.01845608400985176,0.0022493080483595982
fold_3,weekend_evening,0.24568834106591245,0.1,1.0,1.158481822723516,6.087549881939583e-19,1.9869467497956616e-22,0.012345996789736715,0.019187691503760377,0.001971859803051648,0.0030930830393940635
fold_4,weekday_morning,0.17556108917754995,0.1,1.0,0.8812399451235073,0.0002537983616595577,2.7778400236453288e-18,0.010985953446637843,0.0034122130938931904,0.005045282107895663,0.0023996203056301595
fold_4,weekday_evening,0.22717810988193865,0.1,1.0,1.0490952538851517,0.0002319788132444075,1.495793421749347e-14,0.011514011790946774,0.006019962811242308,1.4060149955435952e-12,0.00045327565063073034
fold_4,weekend_midday,0.22427262351545457,0.1,1.0,1.0553860797068404,9.475167308541972e-05,4.676658437342789e-19,0.009019664059738721,0.013383048286887097,0.01513483296721195,4.224403845141894e-05
fold_4,weekend_evening,0.25230175034215063,0.1,1.0,1.1058762101353639,0.00010988782718025161,3.064542223348703e-15,0.012996280773933402,0.008186576197316022,9.112553642601713e-18,0.0008556339715964125
fold_5,weekday_morning,0.17655454182944885,0.1,1.0,0.961580035127954,1.136093418556746e-16,4.267562764227001e-17,0.007210489519410707,0.012578243253192279,0.006700006304568349,0.0045138339986234705
fold_5,weekday_evening,0.22420113703590322,0.1,1.0,1.0716165700828666,2.7589849060409946e-13,1.4724472196668264e-15,0.008098395975051584,0.013483670347077762,0.006627322621081356,0.0024931707337612153
fold_5,weekend_midday,0.2221621806348929,0.1,1.0,1.0817665160969487,1.4353885390694665e-13,8.85404964935077e-15,0.006535669109986041,0.014825544441808025,0.020493479655194165,0.005328982671205315
fold_5,weekend_evening,0.25107968550149184,0.1,1.0,1.1436687263612353,4.3700306544111055e-19,1.0921890407394043e-18,0.008806249237015559,0.014835595997474514,0.007578051577859825,0.003601486495054762
all_development,weekday_morning,0.17488712737389722,0.1,1.0,0.951441412166373,7.935266545580787e-11,7.678136786985013e-18,0.0085864693459456,0.007391360352320002,0.011598117588150651,0.0023939097833006852
all_development,weekday_evening,0.22524654588704182,0.1,1.0,1.0720939690693272,1.0051834791442112e-14,1.869469822212572e-25,0.008692782368496965,0.012371362206859802,0.007304984997810334,0.00020216650659931622
all_development,weekend_midday,0.22041710218285304,0.1,1.0,1.0778193272011616,7.063164178720194e-12,9.237582413701845e-16,0.006950383857059592,0.016962561690430204,0.021858393719177697,0.001159664691831045
all_development,weekend_evening,0.24974205690274998,0.1,1.0,1.1451553860700026,3.231576964751531e-13,1.714904763744054e-17,0.009876211817749224,0.013378871574956845,0.005635541624856077,0.0014139130809340012
