radius_km,alpha,mean_spearman,mean_nmae,rows
1.0,0.1,0.027344646006442534,0.7445186828337895,20
1.0,0.0,0.026838687053378385,0.7445187462125635,20
1.0,0.01,0.026835072825541446,0.7445187398955633,20
1.0,1.0,0.026159283050719094,0.7445180984652385,20
1.0,10.0,0.025126832306745606,0.7445124955782256,20
3.0,10.0,0.02511649960996109,0.7421796078856323,20
3.0,0.0,0.02508541388281137,0.7421788364912583,20
3.0,0.01,0.02508541388281137,0.7421788372636635,20
3.0,0.1,0.02508099105371305,0.7421788442152201,20
3.0,1.0,0.02505490578820762,0.7421789137217828,20
5.0,10.0,0.013086801894098981,0.7409153330405409,20
5.0,0.0,0.013074667818264232,0.7409152016982399,20
5.0,0.01,0.013074667818264232,0.7409152018296076,20
5.0,1.0,0.01307168336220553,0.7409152148347582,20
5.0,0.1,0.01306248549387828,0.7409152030119146,20
