equity_lambda,dmin,dexisting,capture,bottom20,redundancy,runtime,instances
1.0,0.5,0.25,0.08473331901349224,0.10781300028271529,0.23351994671281262,0.012543402280690523,57
2.0,0.5,0.25,0.08463957719296,0.11197612459264752,0.25257709479642265,0.012624147543858686,57
2.0,1.0,0.25,0.08459572763186606,0.10932420003047288,0.14569903565916498,0.011874909964901011,57
1.0,1.0,0.25,0.08406877402339522,0.10493021133264363,0.14231053568069088,0.01170128510526219,57
2.0,0.5,0.5,0.08384456704502762,0.10836381371544206,0.24334222118649904,0.012276588596482167,57
2.0,1.0,0.5,0.08380128140679655,0.10599126924036147,0.14041000645442536,0.011344854561417506,57
1.0,0.5,0.5,0.0837822313196866,0.10409007173672198,0.2245076591034101,0.012511975508758903,57
1.0,1.0,0.5,0.08326454659866074,0.10253529169484908,0.1371959883601751,0.011338522999997287,57
2.0,0.25,0.25,0.0820867092401823,0.11211200966073523,0.28728978872620514,0.013191264543840526,57
2.0,0.5,1.0,0.08155531285654269,0.10143996095430205,0.25571295947566963,0.01127540324560677,57
2.0,0.25,0.5,0.08129169909224991,0.1084013082907001,0.27840030348299744,0.01286789428070079,57
1.0,0.25,0.25,0.0812136016137084,0.10831382556874662,0.26749315234311005,0.013462532385969289,57
2.0,1.0,1.0,0.0811392938569622,0.09958910003601792,0.1594543891297142,0.010357477614039262,57
0.5,1.0,0.25,0.08075546703998784,0.10365528363759059,0.14359900612653848,0.011709802614045896,57
0.5,0.5,0.25,0.08022217926253356,0.10642594714700902,0.22629955714591485,0.013394509421052709,57
0.5,0.5,0.5,0.07955012220067256,0.10328285101712673,0.2217410611364129,0.012511755964899413,57
0.5,1.0,0.5,0.07940271984227278,0.10167465030283764,0.14294742596831225,0.010911426263164046,57
0.0,1.0,0.25,0.0789240501718662,0.10138387611543506,0.14356860239822267,0.012556526491232688,57
0.0,0.5,0.25,0.07872911954025368,0.10397747149977549,0.23299548130057424,0.013699952491239393,57
0.0,1.0,0.5,0.07826111954758848,0.09896840092785236,0.1386831213929981,0.011608081649120848,57
0.0,0.5,0.5,0.07793410939232127,0.10026729784727928,0.2209523274097214,0.013426483649123168,57
1.0,1.0,1.0,0.07793116130686138,0.09893233207619685,0.15882211551868602,0.009672390596494407,57
0.5,0.25,0.25,0.0769692824717367,0.10678698258878495,0.2545513493861689,0.014022396929819655,57
1.0,0.5,1.0,0.07696524153719562,0.10004371980586098,0.23877834188719937,0.01171804470177369,57
2.0,0.25,1.0,0.07683013267226332,0.10048938991426046,0.28349312745231997,0.011971334438596801,57
1.0,0.25,0.5,0.07670875043089256,0.10444108556443267,0.25918437063349575,0.012847133701769596,57
0.5,1.0,1.0,0.07655149408174382,0.09782047195248833,0.16450604877551922,0.00962856522805691,57
0.5,0.25,0.5,0.07629722540987571,0.10359308621827268,0.2501118854954251,0.013907752280693674,57
0.5,0.5,1.0,0.07613575114789381,0.09948984126791725,0.2422904467816228,0.01116594459650562,57
0.0,0.25,0.25,0.07566780622101682,0.10430625388662614,0.25970866262890463,0.014755000491221469,57
0.0,1.0,1.0,0.07522959068087964,0.09616420384479908,0.15083881515851433,0.01073953857894993,57
0.0,0.25,0.5,0.07487279607308442,0.10062156057745494,0.24800772689138506,0.013990912350871503,57
0.0,0.5,1.0,0.07419836204959812,0.09723981972704965,0.24673324675687938,0.011608181614041027,57
1.0,0.25,1.0,0.07380551770953821,0.09947671738941623,0.264378415581787,0.011788354105268203,57
0.5,0.25,1.0,0.07297602732023639,0.09882725216649897,0.2567571303790455,0.012015464578952193,57
0.0,0.25,1.0,0.07087156838690287,0.09680836784877019,0.26211771960325814,0.013019490263168496,57
