service_radius,sigma_ratio,tau,capture,bottom20,redundancy,runtime,instances
5.0,0.5,2.0,0.0837822313196866,0.10409007173672198,0.2245076591034101,0.013061578122799625,57
4.0,0.75,2.0,0.08082107700258212,0.1033786048183309,0.21116996053054193,0.012653782543857392,57
5.0,0.75,2.0,0.0808170425478679,0.09825288765023626,0.17945449579846645,0.014137119807006266,57
4.0,0.75,1.0,0.0796081699217052,0.10254343159383064,0.10645759141320271,0.013282969666653642,57
4.0,0.5,1.0,0.07911543643091577,0.10714168460013708,0.11356545476016738,0.011561211964925334,57
2.5,0.75,2.0,0.07876410124547438,0.10624842341938852,0.1889874324572283,0.00999200031578527,57
4.0,0.5,2.0,0.07781830555083732,0.10622717590132008,0.2136943893530645,0.012001886140344715,57
5.0,0.35,2.0,0.07763292591000595,0.10441778565580301,0.20582123119493015,0.012188526385954359,57
5.0,0.5,1.0,0.07721365345775853,0.10552343906520503,0.12353951582106641,0.01379595454388612,57
5.0,0.75,1.0,0.07717992697133863,0.09270330631213564,0.11759883078962186,0.013607780807014455,57
5.0,0.35,1.0,0.07703381122192328,0.108794189162753,0.09240562572306874,0.011930312403516533,57
2.5,0.75,1.0,0.07589148882770254,0.11341903092923429,0.08604449812035371,0.01028149856140596,57
4.0,0.35,1.0,0.07574734098777164,0.11129019927637612,0.10851578996764094,0.010802707350880507,57
2.5,0.5,1.0,0.07487659960739071,0.10521992038565595,0.0980142605602603,0.009321572543848035,57
4.0,0.35,2.0,0.07302055396034804,0.10314549222325624,0.15999015371249942,0.010187527140360225,57
4.0,0.75,0.5,0.07233546424637168,0.08782169535733089,0.024734179231247027,0.011752961649132263,57
5.0,0.35,0.5,0.07207653325258934,0.10121582398889409,0.037699816490853785,0.012823175192982473,57
4.0,0.35,0.5,0.07157252158161465,0.10741516443158552,0.05781915306055797,0.01061862342104385,57
2.5,0.5,2.0,0.07127275548628342,0.09872570499027755,0.14311239878660964,0.009578822631586567,57
2.5,0.5,0.5,0.07121816300145947,0.10670509132261634,0.058798918966910994,0.009736061070155125,57
2.5,0.75,0.5,0.07044782958808798,0.10383501790350176,0.03649545790165415,0.010038805754387986,57
5.0,0.75,0.5,0.06940043283375634,0.0814555948299153,0.02789695273042547,0.012981986964931773,57
4.0,0.5,0.5,0.06902378525692994,0.0961265702182082,0.032701779731814797,0.010981695245618539,57
5.0,0.5,0.5,0.06887222364397069,0.09351436688838664,0.033989057602490484,0.012399634508750623,57
2.5,0.35,1.0,0.06764015083255041,0.09649855413308646,0.09603918908052476,0.00926505692982254,57
1.5,0.75,2.0,0.06757879860688627,0.09459621991426877,0.13790955292547927,0.008544667929822537,57
1.5,0.75,1.0,0.06728997186915721,0.0993018991021986,0.09085475620956958,0.009150703385976636,57
1.5,0.5,0.5,0.06719005180134922,0.09555057976917378,0.07118415104726011,0.00864049196487334,57
2.5,0.35,2.0,0.06628012307589726,0.09194960448609103,0.133713041404969,0.008773342456128088,57
2.5,0.35,0.5,0.065648039521605,0.0994783392711843,0.0649116538146341,0.00910796377192718,57
1.5,0.35,1.0,0.06554819093249672,0.08638256573262879,0.09441684763382796,0.008286812947369725,57
1.5,0.75,0.5,0.06519536558582176,0.10244427866946203,0.06033055941418048,0.008942481105262695,57
1.5,0.5,1.0,0.06443627328618555,0.09160693666580069,0.10075923154225204,0.008605878771935463,57
1.5,0.35,0.5,0.0627752800180585,0.086648193349246,0.06978434039985423,0.008658498473690551,57
1.5,0.5,2.0,0.06145272615518094,0.08755075112766647,0.1200417271748526,0.008200424403508134,57
1.5,0.35,2.0,0.059841139674924215,0.08224555225887581,0.09906002315003667,0.008200536964913976,57
